National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",OS,42408,53188
National Institute of Technology Raipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,40784,42804
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,41308,47480
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,10110,12773
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,21190,27264
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,16419,19191
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",OS,11059,14763
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,29833,37689
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,43108,52043
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",OS,44378,54340
National Institute of Technology Rourkela,"Architecture (5 Years, Bachelor of Architecture)",OS,273,490
National Institute of Technology Rourkela,"Bio Medical Engineering (4 Years, Bachelor of Technology)",OS,35011,38477
National Institute of Technology Rourkela,"Bio Technology (4 Years, Bachelor of Technology)",OS,25792,34235
National Institute of Technology Rourkela,"Ceramic Engineering (4 Years, Bachelor of Technology)",OS,38670,42865
National Institute of Technology Rourkela,"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,47347,47672
National Institute of Technology Rourkela,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,18100,21037
National Institute of Technology Rourkela,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,25413,26057
National Institute of Technology Rourkela,"Chemistry (5 Years, Integrated Master of Science)",OS,41008,49151
National Institute of Technology Rourkela,"Civil Engineering (4 Years, Bachelor of Technology)",OS,23078,29370
National Institute of Technology Rourkela,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,2529,3786
National Institute of Technology Rourkela,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,8960,12910
National Institute of Technology Rourkela,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,4801,6770
National Institute of Technology Rourkela,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,10715,12955
National Institute of Technology Rourkela,"Food Process Engineering (4 Years, Bachelor of Technology)",OS,39819,45340
National Institute of Technology Rourkela,"Industrial Design (4 Years, Bachelor of Technology)",OS,29391,32085
National Institute of Technology Rourkela,"Life Science (5 Years, Integrated Master of Science)",OS,44213,49862
National Institute of Technology Rourkela,"Mathematics (5 Years, Integrated Master of Science)",OS,12749,33880
National Institute of Technology Rourkela,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,14732,17907
National Institute of Technology Rourkela,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,24289,33055
